train/n_updates,train/ent_coef,train/actor_loss,time/episodes,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,eval/ep_b1_std,eval/ep_nodes_above_threshold,eval/ep_pressure_obj_mean,eval/ep_nodes_below_threshold,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b1_mean,eval/ep_timesteps_below_zero,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_nodes_below_zero
,,,544,48.0,26112,20.391074189999998,,483,54,,,,,,,,,,,,,,,
3299,0.009999999776482582,-5.8306756019592285,548,48.0,26496,20.42014184,0.43575793504714966,481,54,0.003,0.07003834474358733,0.0,1.0,0.0,0.0,0.42715766511580316,0.590143719348922,0.10008914834584089,0.2563323646835073,0.8936622448985144,0,0.2335995146820322,0.7687161775865524,0.0
,,,552,48.0,26496,20.42014184,,481,54,,,,,,,,,,,,,,,
3347,0.009999999776482582,-5.882931232452393,556,48.0,26880,20.449226680000002,1.0658307075500488,475,56,0.003,,,,,,,,,,,,,,
,,,560,48.0,26880,20.449226680000002,,475,56,,,,,,,,,,,,,,,
3395,0.009999999776482582,-5.826261520385742,564,48.0,27264,20.482513599999997,0.8718794584274292,474,57,0.003,0.09098839978534375,0.0,1.0,0.0,0.0,0.6697545152190647,0.582265353715531,0.07461149028421635,0.11664938341946214,0.8908331165163572,0,0.2847412979559265,0.8847618843209177,0.0
,,,568,48.0,27264,20.482513599999997,,474,57,,,,,,,,,,,,,,,
3443,0.009999999776482582,-6.205769062042236,572,48.0,27648,20.570104339999997,0.8032398223876953,474,58,0.003,,,,,,,,,,,,,,
,,,576,48.0,27648,20.570104339999997,,474,58,,,,,,,,,,,,,,,
3491,0.009999999776482582,-6.124458312988281,580,48.0,28032,20.674971799999998,0.2486874759197235,473,59,0.003,0.0512655845182029,0.0,0.9945175438596491,0.0053705692803437165,0.03798357034142275,0.6998986580803337,0.6395806324932835,0.0484279492602687,0.07834602756521161,0.8596084557889146,0,0.17828070347155417,0.8963226747137351,0.0
