train/learning_rate,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/time_elapsed,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_pressure_obj_mean,eval/ep_timesteps_below_zero,eval/ep_b1_mean,eval/ep_pressure_obj_std,eval/ep_nodes_below_zero,eval/ep_b3_std,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_nodes_below_threshold,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_b2_mean
0.003,-8.417143821716309,479,21.66189306,53760,0.006058056838810444,1116,0.009999999776482582,48.0,6707,112,0.8487863045218906,0.27020574785144924,1.0,0,0.8756121946496094,0.0,0.0,0.1155097616635546,0.6340631982471922,0.11308943582590157,0.0,0.0,0.09298297508349893,0.6255824898568142
,,479,21.66189306,53760,,1120,,48.0,,112,,,,,,,,,,,,,,
0.003,-8.563577651977539,480,21.666379129999996,54144,0.00480238301679492,1124,0.009999999776482582,48.0,6755,112,,,,,,,,,,,,,,
,,480,21.666379129999996,54144,,1128,,48.0,,112,,,,,,,,,,,,,,
0.003,-8.61962890625,479,21.669360500000003,54528,0.005410170182585716,1132,0.009999999776482582,48.0,6803,113,0.8440470382528296,0.28286238585307333,1.0,0,0.8428426630298173,0.0,0.0,0.1297985275934098,0.6606846537100451,0.1376212177173619,0.0,0.0,0.0686534561645702,0.6763112810790947
,,479,21.669360500000003,54528,,1136,,48.0,,113,,,,,,,,,,,,,,
0.003,-8.38188362121582,480,21.665526629999995,54912,0.006379871629178524,1140,0.009999999776482582,48.0,6851,114,,,,,,,,,,,,,,
,,480,21.665526629999995,54912,,1144,,48.0,,114,,,,,,,,,,,,,,
0.003,-8.402812004089355,479,21.66872498,55296,0.007891743443906307,1148,0.009999999776482582,48.0,6899,115,0.8052284812093647,0.3213121292498656,1.0,0,0.8535549715728863,0.0,0.0,0.17133112732480038,0.6742362235524618,0.13308528469057632,0.0,0.0,0.06296180763851765,0.6901172981567936
,,479,21.66872498,55296,,1152,,48.0,,115,,,,,,,,,,,,,,
0.003,-8.984173774719238,480,21.67309542,55680,0.004097630735486746,1156,0.009999999776482582,48.0,6947,115,,,,,,,,,,,,,,
,,479,21.67309542,55680,,1160,,48.0,,116,,,,,,,,,,,,,,
0.003,-8.32960319519043,479,21.664958559999995,56064,0.028926072642207146,1164,0.009999999776482582,48.0,6995,116,0.8130892567141582,0.3147046211913486,1.0,0,0.8512117803968416,0.0,0.0,0.16586510256960388,0.6482230778347455,0.14622054155661726,0.0,0.0,0.05651623574559334,0.7089291626691009
,,479,21.664958559999995,56064,,1168,,48.0,,116,,,,,,,,,,,,,,
0.003,-8.696773529052734,480,21.65875726,56448,0.018964853137731552,1172,0.009999999776482582,48.0,7043,117,,,,,,,,,,,,,,
,,480,21.65875726,56448,,1176,,48.0,,117,,,,,,,,,,,,,,
0.003,-9.055774688720703,479,21.6370299,56832,0.011271383613348007,1180,0.009999999776482582,48.0,7091,118,0.8679632742447163,0.2834464578259156,0.9989035087719298,0,0.8404769473801541,0.007596714068284557,0.0,0.11243666480813738,0.6463310094493329,0.13320023755661906,0.0010741138560687433,0.0,0.07806831681347068,0.6878305829898843
,,479,21.6370299,56832,,1184,,48.0,,118,,,,,,,,,,,,,,
0.003,-8.941719055175781,480,21.63738472,57216,0.003891696222126484,1188,0.009999999776482582,48.0,7139,119,,,,,,,,,,,,,,
,,479,21.63738472,57216,,1192,,48.0,,119,,,,,,,,,,,,,,
0.003,-8.720748901367188,479,21.644014140000003,57600,0.003941371105611324,1196,0.009999999776482582,48.0,7187,120,0.8822965965848447,0.2842462797198323,1.0,0,0.8792115622292447,0.0,0.0,0.08974332147477555,0.6367381813671356,0.09438778358418883,0.0,0.0,0.040184421797286256,0.7223362787026939
